title,sentiment
"How billionaire investors traded GOOGL, AMZN and 3 other portfolio stocks",0.0516
"CRM, AMZN, WFC, CRWD, MS",0.2263
Amazon (AMZN) Q3 earnings report 2024,0.6249
"Amazon: What's Project Kuiper, And Why Is It Scaring Investors?",0.6597
Here's why Project Kuiper spending has Amazon (AMZN) investors on edge,0.5346
Amazon (AMZN) Q3 Preview: Riding Nuclear To Record Profits,0.0
Amazon Q3 Preview: Prepare For Takeoff With 25% Upside,0.5367
Amazon: 7 Reasons Why The Stock Is Now A Strong Buy,0.765
Amazon Is Firing On All Cylinders,0.7351
Amazon Is Setting Up For Another Earnings Beat,0.8309
